year,marital,divorce,childs,age,educ,sex,race,relig,xmovie,pornlaw,hapmar
2014,married,ds_no,2,68,2,female,white,catholic,x_no,illegalillegal8,nottoohappy
2012,married,ds_no,3,51,12,female,other,catholic,x_no,illegalillegal8,nottoohappy
2014,married,ds_no,2,51,13,female,black,protestant,x_yes,illegal,nottoohappy
2012,married,ds_no,3,55,10,female,white,catholic,x_no,illegalillegal8,nottoohappy
1973,married,ds_no,3,39,9,male,white,protestant,x_no,illegalillegal8,nottoohappy
1993,married,ds_no,5,62,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1984,married,ds_yes,4,40,11,male,black,protestant,x_no,illegalillegal8,nottoohappy
1975,married,ds_yes,2,31,2,male,black,protestant,x_no,illegal,nottoohappy
1983,married,ds_yes,5,32,15,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1984,married,ds_yes,2,48,15,male,white,catholic,x_no,illegal,nottoohappy
1986,married,ds_no,2,34,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1989,married,ds_no,1,25,7,female,white,protestant,x_no,illegalillegal8,nottoohappy
1990,married,ds_no,2,37,16,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1975,married,ds_yes,4,51,12,male,white,protestant,x_no,legal,nottoohappy
1998,married,ds_no,2,58,16,female,white,protestant,x_no,illegal,nottoohappy
1978,married,ds_no,3,35,13,female,white,catholic,x_no,illegalillegal8,nottoohappy
1978,married,ds_yes,3,39,12,female,other,other,x_yes,illegalillegal8,nottoohappy
1973,married,ds_no,6,45,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1975,married,ds_no,4,39,11,female,white,protestant,x_no,illegal,nottoohappy
2010,married,ds_yes,2,56,11,male,other,hinduism,x_no,illegalillegal8,nottoohappy
2000,married,ds_yes,1,38,12,female,white,none,x_yes,illegalillegal8,nottoohappy
2000,married,ds_no,2,23,8,female,other,other,x_yes,illegalillegal8,nottoohappy
1991,married,ds_no,3,43,13,female,other,protestant,x_no,illegal,nottoohappy
2018,married,ds_no,0,34,13,female,black,protestant,x_yes,illegalillegal8,nottoohappy
1998,married,ds_no,4,68,12,female,white,protestant,x_no,illegal,nottoohappy
1990,married,ds_no,5,67,19,male,white,catholic,x_no,illegal,nottoohappy
1996,married,ds_no,2,40,12,female,white,none,x_no,illegalillegal8,nottoohappy
1998,married,ds_no,0,38,12,female,other,none,x_no,illegalillegal8,nottoohappy
1986,married,ds_no,1,29,17,female,white,catholic,x_no,illegal,nottoohappy
1989,married,ds_no,1,70,12,male,white,protestant,x_no,illegal,nottoohappy
1980,married,ds_no,1,26,12,female,black,none,x_no,illegalillegal8,nottoohappy
2014,married,ds_yes,5,31,12,female,white,protestant,x_yes,illegalillegal8,nottoohappy
1994,married,ds_no,2,58,9,male,white,protestant,x_no,legal,nottoohappy
2002,married,ds_no,0,36,16,female,black,protestant,x_yes,illegalillegal8,nottoohappy
1975,married,ds_yes,0,54,11,female,white,protestant,x_no,illegalillegal8,nottoohappy
1996,married,ds_yes,2,54,12,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1987,married,ds_no,2,55,17,male,white,catholic,x_no,illegalillegal8,nottoohappy
1983,married,ds_yes,0,23,6,female,black,protestant,x_yes,illegalillegal8,nottoohappy
1996,married,ds_no,2,23,12,male,white,none,x_no,illegalillegal8,nottoohappy
1996,married,ds_no,3,37,17,male,other,protestant,x_no,illegal,nottoohappy
