work,fnlwgt,education,marital,occupation,sex,capitalgain,capitalloss,hoursperweek,race,income
Local-gov,103614,edu3,Married,Prof-specialty,Male,0,0,45,White,>50K
Private,102610,edu2,Single,Other-service,Male,0,0,80,White,<=50K
Private,274010,edu2,Single,Prof-specialty,Male,0,0,45,White,<=50K
Private,263338,edu2,Single,Other-service,Male,0,0,15,White,<=50K
Private,145214,edu2,Single,Adm-clerical,Female,0,0,40,White,<=50K
Private,323798,edu3,Married,Prof-specialty,Male,15024,0,55,White,>50K
Private,146706,edu2,Single,Other-service,Female,0,0,30,White,<=50K
Private,150437,edu2,Single,Other-service,Female,0,0,60,White,<=50K
Private,222020,edu2,Married,Craft-repair,Male,0,0,40,White,<=50K
Federal-gov,196649,edu2,Single,Adm-clerical,Male,0,0,40,White,<=50K
Self-emp-inc,80572,edu3,Married,Farming-fishing,Male,0,0,40,White,>50K
Private,300851,edu1,Married,Machine-op-inspct,Male,0,0,56,Black,<=50K
Private,453233,edu1,Single,Exec-managerial,Male,0,0,55,White,<=50K
Self-emp-not-inc,194726,edu2,Single,Craft-repair,Male,0,0,35,White,<=50K
Private,41610,edu3,Married,Prof-specialty,Male,0,0,40,White,<=50K
Private,198841,edu2,Married,Farming-fishing,Male,0,0,40,White,<=50K
Private,71540,edu2,Single,Prof-specialty,Male,0,0,40,White,<=50K
Private,55237,edu3,Married,Craft-repair,Male,0,0,45,White,>50K
Private,112271,edu2,Married,Craft-repair,Male,0,0,45,White,<=50K
Private,184016,edu2,Married,Priv-house-serv,Female,3103,0,40,White,<=50K
State-gov,116367,edu2,Single,Adm-clerical,Female,4650,0,40,White,<=50K
Private,120857,edu2,Married,Sales,Female,0,0,18,White,<=50K
Private,239450,edu2,Married,Sales,Male,0,0,40,White,<=50K
Private,186087,edu3,Single,Prof-specialty,Male,0,0,40,White,>50K
Private,49570,edu2,Single,Adm-clerical,Female,0,0,40,White,<=50K
Private,243190,edu3,Single,Craft-repair,Male,8614,0,40,Asian-Pac-Islander,>50K
Private,28419,edu3,Single,Transport-moving,Male,0,0,50,White,<=50K
Private,189194,edu2,Single,Machine-op-inspct,Male,0,0,40,White,<=50K
Private,49020,edu3,Married,Exec-managerial,Male,0,0,60,White,>50K
Private,43387,edu3,Married,Exec-managerial,Male,0,0,55,White,>50K
Private,313146,edu2,Married,Machine-op-inspct,Male,0,0,40,White,<=50K
Private,181723,edu2,Married,Farming-fishing,Male,0,0,30,White,<=50K
Private,162951,edu1,Married,Handlers-cleaners,Male,0,0,41,White,>50K
Private,186420,edu3,Single,Exec-managerial,Female,0,0,55,White,<=50K
Private,138342,edu1,Married,Farming-fishing,Male,0,0,40,White,<=50K
Private,182187,edu3,Single,Prof-specialty,Male,0,0,35,Black,<=50K
Private,293297,edu2,Single,Other-service,Male,0,0,35,White,<=50K
Private,96268,edu1,Single,Exec-managerial,Female,0,0,40,White,<=50K
Private,221172,edu2,Single,Craft-repair,Male,0,0,30,White,<=50K
Private,63918,edu2,Single,Adm-clerical,Male,0,0,40,White,<=50K
